latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
52.63074,-121.82425,341.07,0.46,0.39,2024-07-10,957,N20,VIIRS,n,2,289.27,3.85,N,0
52.63151,-121.83104,301.39,0.46,0.39,2024-07-10,957,N20,VIIRS,n,2,286.5,3.85,N,0
52.63211,-121.3398,300.14,0.44,0.39,2024-07-10,957,N20,VIIRS,n,2,286.8,0.85,N,0
52.63563,-121.33881,299.44,0.44,0.39,2024-07-10,957,N20,VIIRS,n,2,284.86,0.85,N,0
52.6364,-121.3455,298.08,0.44,0.39,2024-07-10,957,N20,VIIRS,n,2,285.37,0.96,N,0
52.63841,-121.33155,297.08,0.44,0.39,2024-07-10,957,N20,VIIRS,n,2,284.83,0.45,N,0
52.63917,-121.33808,295.04,0.44,0.39,2024-07-10,957,N20,VIIRS,n,2,284.2,0.45,N,0
52.63993,-121.34464,299.36,0.44,0.39,2024-07-10,957,N20,VIIRS,n,2,283.3,0.71,N,0
52.64349,-121.34396,304.65,0.44,0.39,2024-07-10,957,N20,VIIRS,n,2,286.28,0.71,N,0
52.87096,-121.56581,339.87,0.45,0.39,2024-07-10,957,N20,VIIRS,n,2,288.41,5.25,N,0
52.87254,-121.57979,305.23,0.45,0.39,2024-07-10,957,N20,VIIRS,n,2,286.92,2.33,N,0
52.87611,-121.57894,322.88,0.45,0.39,2024-07-10,957,N20,VIIRS,n,2,288.66,1.5,N,0
52.87969,-121.57825,295.31,0.45,0.39,2024-07-10,957,N20,VIIRS,n,2,284.61,1.5,N,0
52.62996,-121.83245,297.78,0.54,0.68,2024-07-10,1137,N20,VIIRS,n,2,285.65,1.93,N,0
52.63191,-121.33691,295.4,0.56,0.69,2024-07-10,1137,N20,VIIRS,n,2,285.26,0.96,N,0
52.63291,-121.8205,312.37,0.54,0.68,2024-07-10,1137,N20,VIIRS,n,2,286.69,1.93,N,0
52.63416,-121.34305,298.76,0.56,0.69,2024-07-10,1137,N20,VIIRS,n,2,285.38,0.96,N,0
52.6353,-121.8271,315.53,0.54,0.68,2024-07-10,1137,N20,VIIRS,n,2,287.87,1.93,N,0
52.63564,-121.33411,298.12,0.56,0.69,2024-07-10,1137,N20,VIIRS,n,2,284.21,0.99,N,0
52.63665,-121.32955,295.34,0.56,0.69,2024-07-10,1137,N20,VIIRS,n,2,284.17,0.96,N,0
52.63797,-121.34037,295.93,0.56,0.69,2024-07-10,1137,N20,VIIRS,n,2,283.31,0.96,N,0
52.6403,-121.34667,297.97,0.56,0.69,2024-07-10,1137,N20,VIIRS,n,2,284.57,0.96,N,0
52.64124,-121.34212,299.28,0.56,0.69,2024-07-10,1137,N20,VIIRS,n,2,284.06,2.12,N,0
52.86916,-121.57053,299.92,0.54,0.68,2024-07-10,1137,N20,VIIRS,n,2,285.52,1.76,N,0
52.87118,-121.57606,296.08,0.54,0.68,2024-07-10,1137,N20,VIIRS,n,2,285.07,1.01,N,0
52.87321,-121.58163,295.87,0.54,0.68,2024-07-10,1137,N20,VIIRS,n,2,285.22,1.01,N,0
52.87797,-121.57464,297.17,0.54,0.68,2024-07-10,1137,N20,VIIRS,n,2,283.91,1.06,N,0
52.62991,-121.82469,349.82,0.34,0.56,2024-07-10,1946,N20,VIIRS,n,2,304.74,4.3,D,0
52.87065,-121.5639,339.9,0.33,0.55,2024-07-10,1946,N20,VIIRS,n,2,296.59,3.39,D,0
52.62893,-121.82783,343.66,0.47,0.48,2024-07-10,2127,N20,VIIRS,n,2,310.79,12.35,D,0
52.62939,-121.82084,339.95,0.47,0.48,2024-07-10,2127,N20,VIIRS,n,2,303.93,11.67,D,0
52.62895,-121.82281,297.09,0.45,0.47,2024-07-11,938,N20,VIIRS,n,2,283.79,0.45,N,0
52.62946,-121.82958,306.96,0.45,0.47,2024-07-11,938,N20,VIIRS,n,2,284.01,0.94,N,0
52.63098,-121.82375,312.69,0.45,0.47,2024-07-11,938,N20,VIIRS,n,2,285.03,1.08,N,0
52.63146,-121.83057,296.4,0.45,0.47,2024-07-11,938,N20,VIIRS,n,2,284.12,1.08,N,0
52.64697,-121.33802,302.14,0.43,0.46,2024-07-11,938,N20,VIIRS,n,2,283.73,0.89,N,0
52.64742,-121.34389,299.44,0.43,0.46,2024-07-11,938,N20,VIIRS,n,2,282.96,0.89,N,0
52.65123,-121.33802,300.42,0.43,0.46,2024-07-11,938,N20,VIIRS,n,2,283.76,0.66,N,0
52.65167,-121.3437,297,0.43,0.46,2024-07-11,938,N20,VIIRS,n,2,283.31,0.66,N,0
52.6281,-121.82551,299.76,0.36,0.57,2024-07-11,1119,N20,VIIRS,n,2,282.38,0.79,N,0
52.62875,-121.82661,309.88,0.36,0.57,2024-07-11,1119,N20,VIIRS,n,2,282.76,1.03,N,0
52.62953,-121.83019,302.86,0.36,0.57,2024-07-11,1119,N20,VIIRS,n,2,283.82,0.79,N,0
52.63019,-121.83128,295.18,0.36,0.57,2024-07-11,1119,N20,VIIRS,n,2,283.64,0.94,N,0
52.65057,-121.34052,297.05,0.38,0.58,2024-07-11,1119,N20,VIIRS,n,2,281.46,1.66,N,0
52.64172,-121.35099,296.7,0.39,0.36,2024-07-14,1022,N20,VIIRS,n,2,281.91,0.54,N,0
